layer,edge,mean,std,max
23,X->X,0.5948433614823789,0.2608589498590127,0.9617813229560852
23,S->S,0.46403917259633215,0.2503183031446385,0.9627186270321116
23,R1->R1,0.4924165125654525,0.24443848293925977,0.9918238695930032
23,P->P,0.8171441308222711,0.22224820106679094,0.9937445521354675
24,X->S,0.05761781400291338,0.022028122160847596,0.17200826108455658
24,X->R1,0.04327350836164052,0.0450514766113632,0.33561503887176514
24,X->P,0.20064253963729634,0.2208390966857914,0.8392038345336914
24,S->R1,0.2029176885340394,0.08055053206314358,0.4198623264537138
24,R1->S,0.13790017992508513,0.048778908834851434,0.4458145814783433
24,S->X,0.38824040682188105,0.16701614627445321,0.8256918963264016
24,R1->X,0.5270220395503696,0.2148499648363769,0.9496023514691521
24,X->X,0.739788264191399,0.21980926114562044,0.9835931062698364
24,S->S,0.4055800297263623,0.1909956451724947,0.932925729190602
24,R1->R1,0.32043336274973655,0.19250602612975332,0.912349588730756
24,P->P,0.19319794785821745,0.14295877314784083,0.7336685061454773
