step,layer,head,edge,light,heavy_slice,abs_diff,rel_diff
27,0,4,P->P,0.24124695360660553,0.24124695360660553,0.0,0.0
27,0,4,P->R1,0.19318735599517822,0.19318735599517822,0.0,0.0
27,0,4,P->S,0.17588980495929718,0.17588980495929718,0.0,0.0
27,0,4,P->X,0.4140273928642273,0.4140273928642273,0.0,0.0
27,0,4,R1->P,0.05158824079176959,0.051777376848108625,0.00018913605633903707,0.0036662629590814024
27,0,4,R1->R1,0.6721598681281594,0.6713930017807904,0.0007668663473689996,0.0011408987411054162
27,0,4,R1->S,0.14646180938271916,0.14629707616918228,0.00016473321353688286,0.0011247520034824827
27,0,4,R1->X,0.17009900597965016,0.1704261302947998,0.0003271243151496406,0.0019231406630840404
27,0,4,S->P,0.08638155460357666,0.08638155460357666,0.0,0.0
27,0,4,S->R1,0.1422417163848877,0.1422417163848877,0.0,0.0
27,0,4,S->S,0.6947424271527458,0.6947424271527458,0.0,0.0
27,0,4,S->X,0.15725407880895279,0.15725407880895279,0.0,0.0
27,0,4,X->P,0.1249992623925209,0.1249992623925209,0.0,0.0
27,0,4,X->R1,0.11546064913272858,0.11546064913272858,0.0,0.0
27,0,4,X->S,0.15030018985271454,0.15030018985271454,0.0,0.0
27,0,4,X->X,0.6899536848068237,0.6899536848068237,0.0,0.0
27,0,8,P->P,0.15087741613388062,0.15087741613388062,0.0,0.0
27,0,8,P->R1,0.06455937027931213,0.06455937027931213,0.0,0.0
27,0,8,P->S,0.13016778230667114,0.13016778230667114,0.0,0.0
27,0,8,P->X,0.6885405778884888,0.6885405778884888,0.0,0.0
27,0,8,R1->P,0.018180631539400888,0.019935942748013663,0.0017553112086127753,0.09654841773833224
27,0,8,R1->R1,0.818172342637006,0.8158127279842601,0.0023596146527459227,0.002884006864789366
27,0,8,R1->S,0.11151332013747271,0.11037459092981675,0.0011387292076559669,0.010211598096551611
27,0,8,R1->X,0.10131772125468534,0.1012879119199865,2.9809334698843726e-05,0.0002942163950165354
27,0,8,S->P,0.04535413139006671,0.04535413139006671,0.0,0.0
27,0,8,S->R1,0.08278307493995218,0.08278307493995218,0.0,0.0
27,0,8,S->S,0.8473786185769474,0.8473786185769474,0.0,0.0
27,0,8,S->X,0.11061355646918802,0.11061355646918802,0.0,0.0
27,0,8,X->P,0.02163727395236492,0.02163727395236492,0.0,0.0
27,0,8,X->R1,0.04914431273937225,0.04914431273937225,0.0,0.0
27,0,8,X->S,0.09659212082624435,0.09659212082624435,0.0,0.0
27,0,8,X->X,0.8870350122451782,0.8870350122451782,0.0,0.0
27,0,12,P->P,0.6952548623085022,0.6952548623085022,0.0,0.0
27,0,12,P->R1,0.07235074043273926,0.07235074043273926,0.0,0.0
27,0,12,P->S,0.07198093086481094,0.07198093086481094,0.0,0.0
27,0,12,P->X,0.17182636260986328,0.17182636260986328,0.0,0.0
27,0,12,R1->P,8.037225480246194e-05,8.066315614782711e-05,2.9090134536517893e-07,0.0036194249630068626
27,0,12,R1->R1,0.835659475887523,0.8355542351217831,0.00010524076573992236,0.00012593738092678245
27,0,12,R1->S,0.1297469139099121,0.12987159280215993,0.00012467889224782036,0.0009609391737393411
27,0,12,R1->X,0.09874620858360739,0.09886586666107178,0.00011965807746439072,0.001211773891683927
27,0,12,S->P,0.00012224698987077265,0.00012224698987077265,0.0,0.0
27,0,12,S->R1,0.08107761775746065,0.08107761775746065,0.0,0.0
27,0,12,S->S,0.8939621308270622,0.8939621308270622,0.0,0.0
27,0,12,S->X,0.1326417502234964,0.1326417502234964,0.0,0.0
27,0,12,X->P,0.00033249324769712985,0.00033249324769712985,0.0,0.0
27,0,12,X->R1,0.04097229987382889,0.04097229987382889,0.0,0.0
27,0,12,X->S,0.09840074181556702,0.09840074181556702,0.0,0.0
27,0,12,X->X,0.9193967580795288,0.9193967580795288,0.0,0.0
27,0,16,P->P,0.09917883574962616,0.09917883574962616,0.0,0.0
27,0,16,P->R1,0.08044629544019699,0.08044629544019699,0.0,0.0
27,0,16,P->S,0.10115823149681091,0.10115823149681091,0.0,0.0
27,0,16,P->X,0.7501355409622192,0.7501355409622192,0.0,0.0
27,0,16,R1->P,0.14286954262677362,0.14765465960783117,0.004785116981057547,0.033492911736674236
27,0,16,R1->R1,0.7293714635512408,0.7248500375186696,0.0045214260325712186,0.006199071746729468
27,0,16,R1->S,0.078263661440681,0.07773691065171186,0.0005267507889691464,0.0067304644233695966
27,0,16,R1->X,0.07821335512049057,0.07776523337644689,0.00044812174404368355,0.005729478595482004
27,0,16,S->P,0.2026362138635972,0.2026362138635972,0.0,0.0
27,0,16,S->R1,0.07019796792198629,0.07019796792198629,0.0,0.0
27,0,16,S->S,0.7035617828369141,0.7035617828369141,0.0,0.0
27,0,16,S->X,0.08914668419781853,0.08914668419781853,0.0,0.0
27,0,16,X->P,0.10354634374380112,0.10354634374380112,0.0,0.0
27,0,16,X->R1,0.04280834645032883,0.04280834645032883,0.0,0.0
27,0,16,X->S,0.09444183856248856,0.09444183856248856,0.0,0.0
27,0,16,X->X,0.8190103769302368,0.8190103769302368,0.0,0.0
27,0,20,P->P,0.6156257390975952,0.6156257390975952,0.0,0.0
27,0,20,P->R1,0.05349857732653618,0.05349857732653618,0.0,0.0
27,0,20,P->S,0.07890541106462479,0.07890541106462479,0.0,0.0
27,0,20,P->X,0.27242958545684814,0.27242958545684814,0.0,0.0
